"","Journey_towork.CLSC_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1111,765,8270,2016
"2",1121,1005,15280,2016
"3",1131,645,7325,2016
"4",1141,315,2890,2016
"5",1151,2165,24240,2016
"6",1161,590,6685,2016
"7",1171,625,8200,2016
"8",1181,605,6560,2016
"9",2111,915,12255,2016
"10",2121,675,9425,2016
"11",2131,1390,21445,2016
"12",2141,1195,28355,2016
"13",2151,1485,33660,2016
"14",2161,445,9585,2016
"15",3111,1065,23655,2016
"16",3121,1150,30850,2016
"17",3122,1010,25930,2016
"18",3123,4135,34560,2016
"19",3124,6065,16590,2016
"20",3125,4440,12780,2016
"21",3126,4160,26765,2016
"22",3131,1780,55310,2016
"23",3132,1820,52410,2016
"24",3133,1535,43750,2016
"25",3134,550,16395,2016
"26",3141,430,5050,2016
"27",3142,410,6085,2016
"28",4111,705,5210,2016
"29",4121,415,4280,2016
"30",4122,310,5015,2016
"31",4131,645,9125,2016
"32",4141,1525,24850,2016
"33",4151,2275,38375,2016
"34",4152,910,20660,2016
"35",4161,745,9690,2016
"36",4162,550,8455,2016
"37",4171,2405,46045,2016
"38",4181,2435,31760,2016
"39",4182,1090,10290,2016
"40",5111,1780,21950,2016
"41",5121,2535,44625,2016
"42",5131,1295,20600,2016
"43",5141,680,8185,2016
"44",5151,4635,71290,2016
"45",5161,985,13270,2016
"46",5171,420,5040,2016
"47",5181,510,9025,2016
"48",5191,740,9020,2016
"49",6111,1460,34615,2016
"50",6112,1140,40315,2016
"51",6113,530,22035,2016
"52",6121,1970,29025,2016
"53",6122,1605,32255,2016
"54",6211,1110,19525,2016
"55",6212,3755,31580,2016
"56",6221,1175,10295,2016
"57",6222,2865,18510,2016
"58",6223,1485,15590,2016
"59",6224,2900,20515,2016
"60",6225,7765,22835,2016
"61",6311,5205,19950,2016
"62",6312,1150,13670,2016
"63",6313,2980,32410,2016
"64",6314,1190,6915,2016
"65",6321,7800,20040,2016
"66",6322,9375,29715,2016
"67",6323,5310,19925,2016
"68",6324,2845,6895,2016
"69",6411,1045,21620,2016
"70",6412,1975,37770,2016
"71",6421,3545,35620,2016
"72",6422,1665,31125,2016
"73",6431,4995,31420,2016
"74",6432,6410,27025,2016
"75",6511,1445,22320,2016
"76",6512,1285,30750,2016
"77",6521,605,26280,2016
"78",6522,830,17230,2016
"79",6523,1000,24675,2016
"80",6524,1035,20465,2016
"81",6531,5290,40430,2016
"82",6532,1380,18640,2016
"83",6533,3885,25600,2016
"84",7111,310,7755,2016
"85",7121,410,7195,2016
"86",7131,415,17915,2016
"87",7141,1520,31980,2016
"88",7142,4230,32450,2016
"89",7143,2685,56760,2016
"90",7151,580,17790,2016
"91",7152,440,6000,2016
"92",8111,585,8190,2016
"93",8121,920,11110,2016
"94",8131,1810,19380,2016
"95",8141,1695,19885,2016
"96",8151,600,4910,2016
"97",8152,160,1500,2016
"98",9111,260,1705,2016
"99",9121,165,2050,2016
"100",9122,115,1790,2016
"101",9123,795,13105,2016
"102",9131,175,3115,2016
"103",9141,1025,12260,2016
"104",9151,370,2770,2016
"105",9161,360,1545,2016
"106",9171,80,175,2016
"107",10011,55,530,2016
"108",10012,155,780,2016
"109",10013,170,920,2016
"110",10014,580,4580,2016
"111",11111,290,4805,2016
"112",11112,335,6310,2016
"113",11121,185,3335,2016
"114",11131,75,650,2016
"115",11132,215,6255,2016
"116",11133,25,235,2016
"117",11141,290,5915,2016
"118",11211,185,5575,2016
"119",12111,1260,15270,2016
"120",12112,1450,49015,2016
"121",12113,1895,27090,2016
"122",12114,1275,17190,2016
"123",12115,805,14615,2016
"124",12121,1030,17150,2016
"125",12131,430,8530,2016
"126",12132,1325,24620,2016
"127",12141,340,6495,2016
"128",12151,775,9620,2016
"129",12152,570,7435,2016
"130",13111,1450,69895,2016
"131",13112,695,28810,2016
"132",13113,1775,41160,2016
"133",13114,1555,55845,2016
"134",14111,1005,18220,2016
"135",14112,830,23560,2016
"136",14113,2005,27560,2016
"137",14114,1030,17820,2016
"138",14121,1860,79130,2016
"139",14122,2070,59795,2016
"140",15111,720,12460,2016
"141",15121,1015,18400,2016
"142",15131,730,16775,2016
"143",15141,575,13045,2016
"144",15151,1860,56895,2016
"145",15161,2590,75020,2016
"146",15171,2760,76740,2016
"147",16111,2555,55360,2016
"148",16112,1305,41750,2016
"149",16121,1505,34900,2016
"150",16122,2815,54350,2016
"151",16211,1965,28065,2016
"152",16212,1940,32120,2016
"153",16213,2280,59160,2016
"154",16221,2220,53725,2016
"155",16222,3245,39735,2016
"156",16223,645,6535,2016
"157",16231,1330,20745,2016
"158",16311,2065,72900,2016
"159",16321,1400,24880,2016
"160",16331,505,8445,2016
"161",16341,1075,33165,2016
"162",16342,1415,54090,2016
"163",16343,795,13100,2016
"164",17011,1190,2410,2016
"165",17012,1050,2745,2016
"166",18011,1820,6345,2016
